MOVIE_ID,DOUBAN_SCORE,MINS,REGION,GENRE,ACTOR_ID,DIRECTOR_ID
1292065,8.3,170,6.549705305,6.541671573,7.06086693,7.325
1292067,7.9,98,6.825121229,6.541671573,7.51643722,7.571428571
1292206,9.1,170,7.236237235,6.946442087,8.622857143,8.45
1292207,8.3,142,7.337154663,7.02600901,7.848888889,7.627272727
1292212,7.9,114,6.737468037,6.70095347,7.49636788,7.1
1292213,9.2,95,6.080020149,6.598401677,6.906763417,6.606666667
1292222,8.4,113,6.549705305,6.776628293,7.672290859,7.664285714
1292225,8.1,119,6.825121229,6.291801033,7.833333333,8.3
1292226,8.7,149,6.825121229,6.279472207,8.340909091,8.3
1292229,8,118,6.549705305,6.477175695,6.868924958,7.57
1292230,8.8,189,6.81809439,6.768116523,7.357637805,7.57
1292262,9.2,229,6.824688538,6.776628293,7.837840868,8.066666667
1292275,8.1,81,6.925230769,6.309221608,7.460138889,7.75
1292276,7.5,99,6.825121229,6.703688336,6.761363636,6.325
1292286,8.2,123,6.188932496,6.703688336,7.349876543,6.4
1292288,8.6,119,6.549705305,6.654951922,7.748074866,7.655555556
1292289,8.2,115,6.686843962,6.602704339,6.568804549,7.28
1292321,8.2,133,6.81809439,7.196073622,7.814285714,7.055555556
1292326,8,84,7.086483476,6.427953344,7.355714286,6.8
1292328,8.6,100,6.472603179,6.524834842,6.94616016,8.183333333
1292329,8.8,237,6.562962963,6.776628293,7.726219348,8.433333333
1292330,8.6,109,6.562962963,6.729106826,8.075972222,7.75
1292333,6.2,94,6.549705305,6.529891806,6.921634419,6.783333333
1292339,6.7,93,6.562962963,6.628737934,6.39924812,6.8
1292340,8.2,135,6.991444529,6.897804569,7.34119053,7.5
1292341,7.7,100,6.549705305,6.855509313,7.297061966,6.641666667
1292343,8.8,113,6.452890627,6.384377821,7.653425926,8.8
1292344,7.2,125,6.549705305,6.384752704,7.133684923,6.641666667
1292345,8.3,104,6.831999346,6.918914176,7.041607143,6.875
1292347,8.8,102,6.549705305,6.603283479,7.983055556,8.016666667
1292349,8.7,216,6.825121229,6.913365423,7.861126958,7.877777778
1292365,9.2,132,6.080020149,7.075235069,7.522525353,6.992307692
1292396,8.2,108,6.382243395,6.70220307,7.618495935,6.781818182
1292397,8.4,110,6.991444529,6.591066839,7.149107744,7.4
1292440,7.7,108,6.825121229,6.675299314,7.428035714,7.533333333
1292444,8,114,6.991444529,6.361038918,7.14931395,7.622727273
1292445,8.3,105,7.086483476,6.855509313,7.321428571,7.95
1292449,8.2,108,6.549705305,6.563918207,7.02930303,7.15
1292450,8.4,81,6.382243395,6.576070902,6.444429824,8.033333333
1292451,7.5,106,7.125167972,6.729106826,7.248518519,6.9
1292452,7.8,136,6.549705305,6.942344788,7.261024306,7.383333333
1292454,7.3,113,6.549705305,6.322631109,7.096279699,6.475
1292458,6.7,93,6.549705305,6.812333844,6.928787879,7.266666667
1292464,7.4,131,7.100537153,6.729106826,7.408076923,6.971428571
1292466,8.2,118,6.549705305,6.729106826,7.387567288,7.342857143
1292468,8.1,159,7.056149654,6.729106826,7.512483988,7.436363636
1292470,6,91,6.549705305,6.445793534,6.093555556,6.566666667
1292471,8.4,92,6.549705305,6.877474417,8.152,7.714285714
1292477,7.7,76,6.549705305,6.638479275,7.43968254,7.7
1292479,7,160,6.549705305,6.791548172,7.521447811,7
1292483,7.7,117,6.549705305,6.855509313,7.632202797,7.925
1292484,8.1,110,6.549705305,6.280242243,7.190897436,7.325
